,CID,tsne_1,tsne_2,link,image
4033,59813080,-58.343124,-14.718029,https://pubchem.ncbi.nlm.nih.gov/compound/59813080,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/59813080.png
4034,98774803,65.98435,-1.5788399,https://pubchem.ncbi.nlm.nih.gov/compound/98774803,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/98774803.png
4035,93237540,-14.329668,54.464447,https://pubchem.ncbi.nlm.nih.gov/compound/93237540,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/93237540.png
4036,18415427,2.8745377,12.1093235,https://pubchem.ncbi.nlm.nih.gov/compound/18415427,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/18415427.png
4037,81594610,46.336166,9.783606,https://pubchem.ncbi.nlm.nih.gov/compound/81594610,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/81594610.png
4038,131415706,31.243391,-5.7246118,https://pubchem.ncbi.nlm.nih.gov/compound/131415706,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/131415706.png
4039,86161544,64.890915,-23.208284,https://pubchem.ncbi.nlm.nih.gov/compound/86161544,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/86161544.png
4040,57238128,-22.637106,-48.389397,https://pubchem.ncbi.nlm.nih.gov/compound/57238128,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/57238128.png
4041,10558676,2.970063,9.628842,https://pubchem.ncbi.nlm.nih.gov/compound/10558676,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/10558676.png
4042,158549783,-26.815922,0.19821097,https://pubchem.ncbi.nlm.nih.gov/compound/158549783,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/158549783.png
4043,80863016,21.15083,45.989376,https://pubchem.ncbi.nlm.nih.gov/compound/80863016,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/80863016.png
4044,63771826,32.82586,12.815154,https://pubchem.ncbi.nlm.nih.gov/compound/63771826,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/63771826.png
4045,19363241,-68.35185,-5.6577854,https://pubchem.ncbi.nlm.nih.gov/compound/19363241,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/19363241.png
4046,8963133,-51.728794,-8.054595,https://pubchem.ncbi.nlm.nih.gov/compound/8963133,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/8963133.png
4047,135973972,-25.842749,30.105246,https://pubchem.ncbi.nlm.nih.gov/compound/135973972,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/135973972.png
