,cid,CanonicalSMILES,overall_score,tsne_1,tsne_2,image,link
17253,17253,C1=CC=C2C(=C1)C=CC3=C2C(=O)C4=CC=CC=C4C3=O,0.3944646375610473,54.170513,17.637196,https://upconverting.blob.core.windows.net/redox-components/17253.png,https://pubchem.ncbi.nlm.nih.gov/compound/17253
53438778,53438778,CC1=CC(=NC=C1)C2=NC(=CC(=C2)C)Br,0.39549599489712794,-17.825571,-22.786343,https://upconverting.blob.core.windows.net/redox-components/53438778.png,https://pubchem.ncbi.nlm.nih.gov/compound/53438778
352218,352218,C1CCC2(CC1)NC3=CC=CC=C3S2,0.39572213927583044,22.950392,35.12354,https://upconverting.blob.core.windows.net/redox-components/352218.png,https://pubchem.ncbi.nlm.nih.gov/compound/352218
252692,252692,CC1=CC(=C(C(=C1C)C(=O)C)C)C,0.3960212233884347,39.169186,-25.267874,https://upconverting.blob.core.windows.net/redox-components/252692.png,https://pubchem.ncbi.nlm.nih.gov/compound/252692
522401,522401,CCCCCCC1=CN=C(C=C1)C,0.39813712590767464,-9.538485,-8.82736,https://upconverting.blob.core.windows.net/redox-components/522401.png,https://pubchem.ncbi.nlm.nih.gov/compound/522401
137169,137169,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=O)C=CC3=O,0.39845805516880434,30.027369,11.097675,https://upconverting.blob.core.windows.net/redox-components/137169.png,https://pubchem.ncbi.nlm.nih.gov/compound/137169
74944,74944,C1=CC=C2C(=C1)C(=O)C=C(C2=O)Br,0.3998628318591926,47.998512,21.04663,https://upconverting.blob.core.windows.net/redox-components/74944.png,https://pubchem.ncbi.nlm.nih.gov/compound/74944
82688,82688,CC[N+]1=C2C=CC=CC2=NC3=CC=CC=C31.CCOS(=O)(=O)[O-],0.39986849628133125,14.918101,-20.051886,https://upconverting.blob.core.windows.net/redox-components/82688.png,https://pubchem.ncbi.nlm.nih.gov/compound/82688
11196941,11196941,C[Si](C)(C[Si](C)(C)C1=CC=CC=N1)C2=CC=CC=N2,0.40041837773562555,-8.310703,-43.48976,https://upconverting.blob.core.windows.net/redox-components/11196941.png,https://pubchem.ncbi.nlm.nih.gov/compound/11196941
6711,6711,C1=CC2=C(C(=C1)Cl)C(=O)C3=C(C2=O)C(=CC=C3)Cl,0.401351444620916,45.203976,23.776373,https://upconverting.blob.core.windows.net/redox-components/6711.png,https://pubchem.ncbi.nlm.nih.gov/compound/6711
13586792,13586792,CC1=CC(=NC=C1)C2=[N+](C=CC(=C2)C)[O-],0.4017551813603499,-17.546663,-22.002234,https://upconverting.blob.core.windows.net/redox-components/13586792.png,https://pubchem.ncbi.nlm.nih.gov/compound/13586792
297680,297680,C1=CC=C(C=C1)C2=CC3=C(C=C2)C4=CC=CC=C4C3=O,0.40249830172720436,51.032097,23.890888,https://upconverting.blob.core.windows.net/redox-components/297680.png,https://pubchem.ncbi.nlm.nih.gov/compound/297680
24209843,24209843,CN(C)C=CC1=CC(=NC=C1)C2=NC=CC(=C2)C=CN(C)C,0.4027558937517778,-14.806915,-20.503101,https://upconverting.blob.core.windows.net/redox-components/24209843.png,https://pubchem.ncbi.nlm.nih.gov/compound/24209843
5931741,5931741,CN(C)C=CC1=CC(=NC=C1)C2=NC=CC(=C2)C=CN(C)C,0.4027558937517778,-14.806994,-20.503263,https://upconverting.blob.core.windows.net/redox-components/5931741.png,https://pubchem.ncbi.nlm.nih.gov/compound/5931741
53384303,53384303,CC[N+]1=CC=CC(=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.40402807245822486,9.275392,4.4059944,https://upconverting.blob.core.windows.net/redox-components/53384303.png,https://pubchem.ncbi.nlm.nih.gov/compound/53384303
1550328,1550328,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,0.4042146183556154,31.727993,20.791758,https://upconverting.blob.core.windows.net/redox-components/1550328.png,https://pubchem.ncbi.nlm.nih.gov/compound/1550328
1550329,1550329,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,0.4042146183556154,31.727993,20.791758,https://upconverting.blob.core.windows.net/redox-components/1550329.png,https://pubchem.ncbi.nlm.nih.gov/compound/1550329
1550330,1550330,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,0.4042146183556154,31.727993,20.791758,https://upconverting.blob.core.windows.net/redox-components/1550330.png,https://pubchem.ncbi.nlm.nih.gov/compound/1550330
