,CID,smiles,tsne_1,tsne_2,image,link
33,138414241,CCCCCCCCN(CCCC(=O)OCC)C1=CC=C(C=C1)C,49.499104,-67.00799,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138414241.png,https://pubchem.ncbi.nlm.nih.gov/compound/138414241
34,74975403,CCN1C(C(C2=CC=CC=C21)(C)C)C=CC=C3C(C4=CC=CC=C4N3CC)(C)C,15.741329,57.441776,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/74975403.png,https://pubchem.ncbi.nlm.nih.gov/compound/74975403
35,2099416,CC1=C(C=C(C=C1)NC(=O)CN2CCN(CC2)CC3=CC=CC=C3)F,58.03369,3.9830596,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/2099416.png,https://pubchem.ncbi.nlm.nih.gov/compound/2099416
36,138414355,CCCCCCN(CC(OC)OC)C1=CC=C(C=C1)C,-28.234324,-41.215343,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138414355.png,https://pubchem.ncbi.nlm.nih.gov/compound/138414355
37,107481396,CNCC1=CC=CC=C1N(CCO)CC(F)F,-51.81785,-32.114853,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/107481396.png,https://pubchem.ncbi.nlm.nih.gov/compound/107481396
38,64489903,CC1=C(C=CC(=C1)O)NC(C)C2=CC=C(C=C2)[N+](=O)[O-],-49.152206,59.471016,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/64489903.png,https://pubchem.ncbi.nlm.nih.gov/compound/64489903
39,1575351,CCCCCCCNC1=CC=CC(=C1)C,-20.544306,-40.002415,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/1575351.png,https://pubchem.ncbi.nlm.nih.gov/compound/1575351
40,71305709,CC(C)(C)OC(=O)N1CCC2C(C1)C3=CC=CC=C3N2,78.17469,-19.98868,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/71305709.png,https://pubchem.ncbi.nlm.nih.gov/compound/71305709
41,62392823,CCN(CC1(CCOCC1)C=O)C2=CC=CC=C2C,-24.96801,2.5944157,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/62392823.png,https://pubchem.ncbi.nlm.nih.gov/compound/62392823
42,88607230,CCC(=CC1=[N+](C2=C(O1)C=CC(=C2)C3=CC=CC=C3)CCCS(=O)(=O)[O-])C=C4N(C5=C(O4)C=CC(=C5)C6=CC=CC=C6)CCCS(=O)(=O)[O-].[Na+],13.973866,2.5020733,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/88607230.png,https://pubchem.ncbi.nlm.nih.gov/compound/88607230
