,CID,smiles
81,91751159,CC(COC(C)COCC(COC(=O)C=C)OC(=O)C=C)O
82,91751160,CC(COCC(COC(=O)C=C)O)OCC(C)OC(=O)C=C
83,91751161,CC(COCC(COC(=O)C=C)OC(=O)C=C)OCC(C)OC(=O)C=C
84,91751163,CCC(COCCOC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
85,91751164,CC(COCC(C)(C)COC(=O)C=C)OC(=O)C=C
86,91751162,C=CC(=O)OCCCCCCOCCOC(=O)C=C
87,142869246,CC.C[N+](C)(CCOC(=O)C=C)CC1=CC=C(C=C1)C(=O)C2=CC=CC=C2
88,91751165,C=CC(=O)OCCOCCOCCCCCCOCCOCCOC(=O)C=C
89,91751168,C=CC(=O)OCCOCCCCCCOCCOCCOC(=O)C=C
90,91751169,CCC(COCCOCCOC(=O)C=C)(COCCOC(=O)C=C)COC(=O)C=C
91,91751170,CC(COCC(COCC(C)OC(=O)C=C)OC(=O)C=C)OCC(C)OC(=O)C=C
92,58721026,COC(=O)OCCCCCCOC(=O)C=C
93,91751167,CC(COCC(C)(C)COCC(C)OCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C
94,91751166,CCC(COCCOCCOC(=O)C=C)(COCCOC(=O)C=C)COCCOC(=O)C=C
95,67371786,CCCCC(CC)COC1(CC1)C2(CC2)OC(=O)C=C
96,160695078,C.C.C.C.C.C.C.CCC(COCCOC(=O)C=C)(COCCOC(=O)C=C)COCCOC(=O)C=C
97,146015035,C=CC(=O)O.C=CC(=O)O.C=CC(=O)[O-].[Na+].[Ni]
98,146015036,C=CC(=O)O.C=CC(=O)O.C=CC(=O)[O-].[Na+].[Pd]
99,66847559,CC(=C)C(=O)O.CC1(C2CCC1(C(C2)OC(=O)C=C)C)C
100,66847558,CC(=C)C(=O)O.CC1(C2CCC1(C(C2)OC(=O)C=C)C)C
101,153879371,CCC(C)CCC(C)OC(=O)C=C
102,159908687,CC(=C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C.CC(=C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C.CC(=C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C.CC(=C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C.CC(=C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
103,160170846,CC(=C)C(=O)OCC(C)(C)C.C=CC(=O)O
104,163578721,CC(=C)C(=O)OCC1CO1.C=CC(=O)O[SiH3]
105,17826658,CC(C)C(C(C)(C)COC(=O)C=C)OC(=O)C=C
